frame_position_zero_based,frame_index_matlab_one_based,image_filename,person_count,vehicle_count,total_count
0,1,frame_0001.png,2,0,2
1,2,frame_0002.png,2,0,2
2,3,frame_0003.png,2,0,2
3,4,frame_0004.png,2,0,2
4,5,frame_0005.png,2,0,2
5,6,frame_0006.png,2,0,2
6,7,frame_0007.png,2,0,2
7,8,frame_0008.png,2,0,2
8,9,frame_0009.png,2,0,2
9,10,frame_0010.png,2,0,2
10,11,frame_0011.png,2,0,2
11,12,frame_0012.png,2,0,2
12,13,frame_0013.png,2,0,2
13,14,frame_0014.png,2,0,2
14,15,frame_0015.png,2,0,2
15,16,frame_0016.png,2,0,2
16,17,frame_0017.png,2,0,2
17,18,frame_0018.png,2,0,2
18,19,frame_0019.png,2,0,2
19,20,frame_0020.png,2,0,2
20,21,frame_0021.png,2,0,2
21,22,frame_0022.png,2,0,2
22,23,frame_0023.png,1,0,1
23,24,frame_0024.png,1,0,1
24,25,frame_0025.png,1,0,1
25,26,frame_0026.png,1,0,1
26,27,frame_0027.png,1,0,1
27,28,frame_0028.png,1,0,1
28,29,frame_0029.png,1,0,1
29,30,frame_0030.png,1,0,1
30,31,frame_0031.png,1,0,1
31,32,frame_0032.png,1,0,1
32,33,frame_0033.png,1,0,1
33,34,frame_0034.png,1,0,1
34,35,frame_0035.png,1,0,1
35,36,frame_0036.png,1,0,1
36,37,frame_0037.png,1,0,1
37,38,frame_0038.png,1,0,1
38,39,frame_0039.png,1,0,1
39,40,frame_0040.png,1,0,1
40,41,frame_0041.png,1,0,1
41,42,frame_0042.png,1,0,1
42,43,frame_0043.png,2,0,2
43,44,frame_0044.png,2,0,2
44,45,frame_0045.png,2,0,2
45,46,frame_0046.png,2,0,2
46,47,frame_0047.png,2,0,2
47,48,frame_0048.png,2,0,2
48,49,frame_0049.png,2,0,2
49,50,frame_0050.png,2,0,2
50,51,frame_0051.png,2,0,2
51,52,frame_0052.png,2,0,2
52,53,frame_0053.png,2,0,2
53,54,frame_0054.png,2,0,2
54,55,frame_0055.png,2,0,2
55,56,frame_0056.png,2,0,2
56,57,frame_0057.png,2,0,2
57,58,frame_0058.png,2,0,2
58,59,frame_0059.png,2,1,3
59,60,frame_0060.png,1,1,2
60,61,frame_0061.png,1,1,2
61,62,frame_0062.png,1,1,2
62,63,frame_0063.png,1,1,2
63,64,frame_0064.png,1,1,2
64,65,frame_0065.png,1,1,2
65,66,frame_0066.png,1,1,2
66,67,frame_0067.png,1,1,2
67,68,frame_0068.png,1,1,2
68,69,frame_0069.png,1,1,2
69,70,frame_0070.png,1,1,2
70,71,frame_0071.png,1,1,2
71,72,frame_0072.png,1,1,2
72,73,frame_0073.png,1,1,2
73,74,frame_0074.png,1,1,2
74,75,frame_0075.png,1,1,2
75,76,frame_0076.png,1,1,2
76,77,frame_0077.png,1,1,2
77,78,frame_0078.png,1,1,2
78,79,frame_0079.png,1,1,2
79,80,frame_0080.png,1,1,2
80,81,frame_0081.png,1,1,2
81,82,frame_0082.png,1,1,2
82,83,frame_0083.png,1,1,2
83,84,frame_0084.png,1,1,2
84,85,frame_0085.png,1,1,2
85,86,frame_0086.png,1,1,2
86,87,frame_0087.png,0,1,1
87,88,frame_0088.png,0,2,2
88,89,frame_0089.png,0,2,2
89,90,frame_0090.png,0,2,2
90,91,frame_0091.png,0,2,2
91,92,frame_0092.png,0,2,2
92,93,frame_0093.png,0,2,2
93,94,frame_0094.png,0,2,2
94,95,frame_0095.png,0,2,2
95,96,frame_0096.png,0,2,2
96,97,frame_0097.png,0,2,2
97,98,frame_0098.png,0,2,2
98,99,frame_0099.png,0,2,2
99,100,frame_0100.png,0,2,2
100,101,frame_0101.png,0,2,2
101,102,frame_0102.png,0,2,2
102,103,frame_0103.png,0,2,2
103,104,frame_0104.png,0,2,2
104,105,frame_0105.png,0,2,2
105,106,frame_0106.png,0,2,2
106,107,frame_0107.png,0,2,2
107,108,frame_0108.png,0,2,2
108,109,frame_0109.png,0,2,2
109,110,frame_0110.png,0,2,2
110,111,frame_0111.png,0,2,2
111,112,frame_0112.png,0,2,2
112,113,frame_0113.png,0,2,2
113,114,frame_0114.png,0,2,2
114,115,frame_0115.png,0,2,2
115,116,frame_0116.png,0,2,2
116,117,frame_0117.png,0,2,2
117,118,frame_0118.png,0,2,2
118,119,frame_0119.png,0,2,2
119,120,frame_0120.png,0,2,2
120,121,frame_0121.png,0,2,2
121,122,frame_0122.png,0,2,2
122,123,frame_0123.png,0,2,2
123,124,frame_0124.png,0,1,1
124,125,frame_0125.png,0,1,1
125,126,frame_0126.png,0,1,1
126,127,frame_0127.png,0,1,1
127,128,frame_0128.png,0,1,1
128,129,frame_0129.png,0,1,1
129,130,frame_0130.png,0,1,1
130,131,frame_0131.png,0,1,1
131,132,frame_0132.png,0,1,1
132,133,frame_0133.png,0,1,1
133,134,frame_0134.png,0,1,1
134,135,frame_0135.png,0,1,1
135,136,frame_0136.png,0,1,1
136,137,frame_0137.png,0,1,1
137,138,frame_0138.png,0,1,1
138,139,frame_0139.png,0,1,1
139,140,frame_0140.png,0,1,1
140,141,frame_0141.png,0,1,1
141,142,frame_0142.png,0,1,1
142,143,frame_0143.png,0,1,1
143,144,frame_0144.png,0,1,1
144,145,frame_0145.png,0,1,1
145,146,frame_0146.png,0,1,1
146,147,frame_0147.png,0,1,1
147,148,frame_0148.png,0,1,1
148,149,frame_0149.png,0,1,1
149,150,frame_0150.png,0,1,1
150,151,frame_0151.png,0,1,1
151,152,frame_0152.png,0,1,1
152,153,frame_0153.png,0,1,1
153,154,frame_0154.png,0,1,1
154,155,frame_0155.png,0,1,1
155,156,frame_0156.png,0,0,0
156,157,frame_0157.png,0,0,0
157,158,frame_0158.png,0,0,0
158,159,frame_0159.png,0,0,0
159,160,frame_0160.png,0,0,0
160,161,frame_0161.png,0,0,0
161,162,frame_0162.png,0,0,0
162,163,frame_0163.png,0,0,0
163,164,frame_0164.png,0,0,0
164,165,frame_0165.png,0,0,0
165,166,frame_0166.png,0,0,0
166,167,frame_0167.png,0,0,0
167,168,frame_0168.png,0,0,0
168,169,frame_0169.png,0,0,0
169,170,frame_0170.png,0,0,0
170,171,frame_0171.png,0,0,0
171,172,frame_0172.png,0,0,0
172,173,frame_0173.png,0,0,0
173,174,frame_0174.png,0,0,0
174,175,frame_0175.png,0,0,0
175,176,frame_0176.png,0,0,0
176,177,frame_0177.png,0,0,0
177,178,frame_0178.png,0,0,0
178,179,frame_0179.png,0,0,0
179,180,frame_0180.png,0,0,0
180,181,frame_0181.png,0,0,0
