frame_position_zero_based,frame_index_matlab_one_based,object_id,class_name,x,y,width,height,area,center_x,center_y,nonpositive,outside_left,outside_top,outside_right,outside_bottom,any_out_of_bounds,clipped_x,clipped_y,clipped_width,clipped_height,clipped_area
0,1,1,person,364.0,127.0,17.0,32.0,544.0,372.5,143.0,False,False,False,False,False,False,364.0,127.0,17.0,32.0,544.0
1,2,1,person,364.0,134.0,18.0,32.0,576.0,373.0,150.0,False,False,False,False,False,False,364.0,134.0,18.0,32.0,576.0
1,2,2,person,234.0,0.0,9.0,1.0,9.0,238.5,0.5,False,False,False,False,False,False,234.0,0.0,9.0,1.0,9.0
2,3,1,person,365.0,142.0,18.0,31.0,558.0,374.0,157.5,False,False,False,False,False,False,365.0,142.0,18.0,31.0,558.0
2,3,2,person,231.0,0.0,12.0,6.0,72.0,237.0,3.0,False,False,False,False,False,False,231.0,0.0,12.0,6.0,72.0
3,4,1,person,365.0,149.0,18.0,32.0,576.0,374.0,165.0,False,False,False,False,False,False,365.0,149.0,18.0,32.0,576.0
3,4,2,person,230.0,0.0,13.0,11.0,143.0,236.5,5.5,False,False,False,False,False,False,230.0,0.0,13.0,11.0,143.0
4,5,1,person,355.0,161.0,18.0,31.0,558.0,364.0,176.5,False,False,False,False,False,False,355.0,161.0,18.0,31.0,558.0
4,5,2,person,229.0,0.0,16.0,23.0,368.0,237.0,11.5,False,False,False,False,False,False,229.0,0.0,16.0,23.0,368.0
5,6,1,person,355.0,169.0,18.0,30.0,540.0,364.0,184.0,False,False,False,False,False,False,355.0,169.0,18.0,30.0,540.0
5,6,2,person,228.0,0.0,17.0,28.0,476.0,236.5,14.0,False,False,False,False,False,False,228.0,0.0,17.0,28.0,476.0
6,7,1,person,355.0,177.0,18.0,30.0,540.0,364.0,192.0,False,False,False,False,False,False,355.0,177.0,18.0,30.0,540.0
6,7,2,person,227.0,0.0,18.0,33.0,594.0,236.0,16.5,False,False,False,False,False,False,227.0,0.0,18.0,33.0,594.0
7,8,1,person,356.0,185.0,18.0,30.0,540.0,365.0,200.0,False,False,False,False,False,False,356.0,185.0,18.0,30.0,540.0
7,8,2,person,227.0,3.0,17.0,36.0,612.0,235.5,21.0,False,False,False,False,False,False,227.0,3.0,17.0,36.0,612.0
8,9,1,person,347.0,200.0,17.0,29.0,493.0,355.5,214.5,False,False,False,False,False,False,347.0,200.0,17.0,29.0,493.0
8,9,2,person,231.0,15.0,18.0,36.0,648.0,240.0,33.0,False,False,False,False,False,False,231.0,15.0,18.0,36.0,648.0
9,10,1,person,347.0,208.0,18.0,29.0,522.0,356.0,222.5,False,False,False,False,False,False,347.0,208.0,18.0,29.0,522.0
9,10,2,person,231.0,21.0,17.0,35.0,595.0,239.5,38.5,False,False,False,False,False,False,231.0,21.0,17.0,35.0,595.0
10,11,1,person,347.0,217.0,18.0,28.0,504.0,356.0,231.0,False,False,False,False,False,False,347.0,217.0,18.0,28.0,504.0
10,11,2,person,230.0,27.0,17.0,35.0,595.0,238.5,44.5,False,False,False,False,False,False,230.0,27.0,17.0,35.0,595.0
11,12,1,person,347.0,225.0,18.0,28.0,504.0,356.0,239.0,False,False,False,False,False,False,347.0,225.0,18.0,28.0,504.0
11,12,2,person,229.0,33.0,18.0,35.0,630.0,238.0,50.5,False,False,False,False,False,False,229.0,33.0,18.0,35.0,630.0
12,13,1,person,347.0,234.0,19.0,27.0,513.0,356.5,247.5,False,False,False,False,False,False,347.0,234.0,19.0,27.0,513.0
12,13,2,person,229.0,39.0,18.0,35.0,630.0,238.0,56.5,False,False,False,False,False,False,229.0,39.0,18.0,35.0,630.0
13,14,1,person,337.0,255.0,19.0,24.0,456.0,346.5,267.0,False,False,False,False,False,False,337.0,255.0,19.0,24.0,456.0
13,14,2,person,237.0,52.0,18.0,34.0,612.0,246.0,69.0,False,False,False,False,False,False,237.0,52.0,18.0,34.0,612.0
14,15,1,person,337.0,263.0,19.0,24.0,456.0,346.5,275.0,False,False,False,False,False,False,337.0,263.0,19.0,24.0,456.0
14,15,2,person,237.0,59.0,17.0,34.0,578.0,245.5,76.0,False,False,False,False,False,False,237.0,59.0,17.0,34.0,578.0
15,16,1,person,337.0,273.0,19.0,24.0,456.0,346.5,285.0,False,False,False,False,False,False,337.0,273.0,19.0,24.0,456.0
15,16,2,person,236.0,65.0,18.0,34.0,612.0,245.0,82.0,False,False,False,False,False,False,236.0,65.0,18.0,34.0,612.0
16,17,1,person,338.0,283.0,19.0,22.0,418.0,347.5,294.0,False,False,False,False,False,False,338.0,283.0,19.0,22.0,418.0
16,17,2,person,235.0,71.0,18.0,34.0,612.0,244.0,88.0,False,False,False,False,False,False,235.0,71.0,18.0,34.0,612.0
17,18,1,person,332.0,303.0,19.0,22.0,418.0,341.5,314.0,False,False,False,False,False,False,332.0,303.0,19.0,22.0,418.0
17,18,2,person,244.0,82.0,17.0,33.0,561.0,252.5,98.5,False,False,False,False,False,False,244.0,82.0,17.0,33.0,561.0
18,19,1,person,332.0,313.0,19.0,21.0,399.0,341.5,323.5,False,False,False,False,False,False,332.0,313.0,19.0,21.0,399.0
18,19,2,person,243.0,89.0,18.0,32.0,576.0,252.0,105.0,False,False,False,False,False,False,243.0,89.0,18.0,32.0,576.0
19,20,1,person,332.0,323.0,19.0,21.0,399.0,341.5,333.5,False,False,False,False,False,False,332.0,323.0,19.0,21.0,399.0
19,20,2,person,243.0,95.0,18.0,33.0,594.0,252.0,111.5,False,False,False,False,False,False,243.0,95.0,18.0,33.0,594.0
20,21,1,person,332.0,333.0,19.0,21.0,399.0,341.5,343.5,False,False,False,False,False,False,332.0,333.0,19.0,21.0,399.0
20,21,2,person,242.0,102.0,19.0,33.0,627.0,251.5,118.5,False,False,False,False,False,False,242.0,102.0,19.0,33.0,627.0
21,22,1,person,333.0,357.0,12.0,3.0,36.0,339.0,358.5,False,False,False,False,False,False,333.0,357.0,12.0,3.0,36.0
21,22,2,person,252.0,111.0,17.0,33.0,561.0,260.5,127.5,False,False,False,False,False,False,252.0,111.0,17.0,33.0,561.0
22,23,2,person,251.0,119.0,18.0,32.0,576.0,260.0,135.0,False,False,False,False,False,False,251.0,119.0,18.0,32.0,576.0
23,24,2,person,251.0,126.0,18.0,32.0,576.0,260.0,142.0,False,False,False,False,False,False,251.0,126.0,18.0,32.0,576.0
24,25,2,person,251.0,133.0,18.0,32.0,576.0,260.0,149.0,False,False,False,False,False,False,251.0,133.0,18.0,32.0,576.0
25,26,2,person,261.0,139.0,17.0,32.0,544.0,269.5,155.0,False,False,False,False,False,False,261.0,139.0,17.0,32.0,544.0
26,27,2,person,260.0,147.0,18.0,32.0,576.0,269.0,163.0,False,False,False,False,False,False,260.0,147.0,18.0,32.0,576.0
27,28,2,person,260.0,155.0,18.0,31.0,558.0,269.0,170.5,False,False,False,False,False,False,260.0,155.0,18.0,31.0,558.0
28,29,2,person,259.0,163.0,18.0,30.0,540.0,268.0,178.0,False,False,False,False,False,False,259.0,163.0,18.0,30.0,540.0
29,30,2,person,269.0,167.0,18.0,30.0,540.0,278.0,182.0,False,False,False,False,False,False,269.0,167.0,18.0,30.0,540.0
30,31,2,person,269.0,175.0,18.0,30.0,540.0,278.0,190.0,False,False,False,False,False,False,269.0,175.0,18.0,30.0,540.0
31,32,2,person,269.0,183.0,18.0,30.0,540.0,278.0,198.0,False,False,False,False,False,False,269.0,183.0,18.0,30.0,540.0
32,33,2,person,268.0,191.0,18.0,30.0,540.0,277.0,206.0,False,False,False,False,False,False,268.0,191.0,18.0,30.0,540.0
33,34,2,person,277.0,194.0,18.0,29.0,522.0,286.0,208.5,False,False,False,False,False,False,277.0,194.0,18.0,29.0,522.0
34,35,2,person,277.0,202.0,18.0,29.0,522.0,286.0,216.5,False,False,False,False,False,False,277.0,202.0,18.0,29.0,522.0
35,36,2,person,277.0,211.0,18.0,29.0,522.0,286.0,225.5,False,False,False,False,False,False,277.0,211.0,18.0,29.0,522.0
36,37,2,person,277.0,219.0,18.0,29.0,522.0,286.0,233.5,False,False,False,False,False,False,277.0,219.0,18.0,29.0,522.0
37,38,2,person,276.0,229.0,19.0,28.0,532.0,285.5,243.0,False,False,False,False,False,False,276.0,229.0,19.0,28.0,532.0
38,39,2,person,286.0,227.0,19.0,28.0,532.0,295.5,241.0,False,False,False,False,False,False,286.0,227.0,19.0,28.0,532.0
39,40,2,person,286.0,236.0,18.0,28.0,504.0,295.0,250.0,False,False,False,False,False,False,286.0,236.0,18.0,28.0,504.0
40,41,2,person,285.0,245.0,19.0,28.0,532.0,294.5,259.0,False,False,False,False,False,False,285.0,245.0,19.0,28.0,532.0
41,42,2,person,285.0,254.0,19.0,27.0,513.0,294.5,267.5,False,False,False,False,False,False,285.0,254.0,19.0,27.0,513.0
42,43,2,person,291.0,253.0,18.0,28.0,504.0,300.0,267.0,False,False,False,False,False,False,291.0,253.0,18.0,28.0,504.0
43,44,2,person,291.0,263.0,18.0,26.0,468.0,300.0,276.0,False,False,False,False,False,False,291.0,263.0,18.0,26.0,468.0
44,45,2,person,290.0,273.0,19.0,26.0,494.0,299.5,286.0,False,False,False,False,False,False,290.0,273.0,19.0,26.0,494.0
44,45,3,person,398.0,0.0,11.0,2.0,22.0,403.5,1.0,False,False,False,False,False,False,398.0,0.0,11.0,2.0,22.0
45,46,2,person,290.0,282.0,19.0,26.0,494.0,299.5,295.0,False,False,False,False,False,False,290.0,282.0,19.0,26.0,494.0
45,46,3,person,398.0,0.0,13.0,7.0,91.0,404.5,3.5,False,False,False,False,False,False,398.0,0.0,13.0,7.0,91.0
46,47,2,person,293.0,281.0,19.0,26.0,494.0,302.5,294.0,False,False,False,False,False,False,293.0,281.0,19.0,26.0,494.0
46,47,3,person,389.0,0.0,14.0,15.0,210.0,396.0,7.5,False,False,False,False,False,False,389.0,0.0,14.0,15.0,210.0
