epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1188,0.95237,2.2887,0.92908,0.91999,0.77735,0.86195,0.723,0.59688,0.84429,0.81838,0.0032963,0.0032963,0.0703333
2,34.7369,0.7277,0.97427,0.84153,0.96463,0.83327,0.91531,0.69708,0.70453,0.80208,0.82189,0.00649836,0.00649836,0.0402021
3,50.9611,0.7801,0.97192,0.84761,0.97172,0.88479,0.94777,0.72809,0.7563,0.86491,0.84006,0.00956843,0.00956843,0.0099388
4,67.4003,0.86225,0.79196,0.86048,0.98517,0.90305,0.94029,0.68147,0.87368,0.60886,0.8563,0.009406,0.009406,0.009406
5,83.4301,0.85741,0.73326,0.864,0.97157,0.93266,0.95337,0.76855,0.61836,0.52769,0.82305,0.009208,0.009208,0.009208
6,100.202,0.77335,0.62707,0.85096,0.98476,0.91143,0.94929,0.7414,0.77477,0.5581,0.82937,0.00901,0.00901,0.00901
7,116.396,0.81246,0.54256,0.85515,0.95796,0.92406,0.9495,0.72108,0.72726,0.49509,0.8269,0.008812,0.008812,0.008812
8,132.706,0.78896,0.53562,0.8543,0.96734,0.90395,0.94672,0.73796,0.7058,0.54478,0.82555,0.008614,0.008614,0.008614
9,148.813,0.77693,0.50175,0.84595,0.94131,0.93466,0.94516,0.73683,0.68306,0.51917,0.82141,0.008416,0.008416,0.008416
10,165.154,0.7683,0.54403,0.84867,0.97355,0.92068,0.94693,0.75854,0.61036,0.53837,0.81692,0.008218,0.008218,0.008218
11,181.678,0.74228,0.49848,0.84221,0.97916,0.93414,0.94903,0.77214,0.61172,0.50238,0.81038,0.00802,0.00802,0.00802
12,198.264,0.71568,0.46586,0.84337,0.98559,0.93442,0.95311,0.75971,0.67701,0.48361,0.81329,0.007822,0.007822,0.007822
13,214.375,0.70349,0.46883,0.84272,0.99477,0.92521,0.9534,0.76615,0.64297,0.48374,0.81331,0.007624,0.007624,0.007624
14,227.715,0.64848,0.44552,0.83122,0.98047,0.92068,0.94876,0.78756,0.60349,0.52114,0.81598,0.007426,0.007426,0.007426
15,241.203,0.62977,0.42919,0.82995,0.97729,0.93012,0.94553,0.74205,0.64382,0.46295,0.81899,0.007228,0.007228,0.007228
16,254.676,0.6884,0.4363,0.83668,0.97028,0.93911,0.95959,0.76249,0.63089,0.48538,0.80826,0.00703,0.00703,0.00703
17,268.106,0.65514,0.42933,0.82736,0.9709,0.93446,0.95149,0.81142,0.53842,0.4543,0.79462,0.006832,0.006832,0.006832
18,281.568,0.61279,0.43049,0.83351,0.98069,0.94974,0.96258,0.81728,0.52554,0.41347,0.79506,0.006634,0.006634,0.006634
19,295.141,0.61641,0.41009,0.83404,0.98726,0.94567,0.96067,0.82606,0.51341,0.40779,0.79597,0.006436,0.006436,0.006436
20,308.843,0.60488,0.38467,0.82979,0.99017,0.94137,0.95737,0.82253,0.54443,0.43049,0.79449,0.006238,0.006238,0.006238
21,322.391,0.61503,0.39965,0.82973,0.98792,0.94059,0.96051,0.81806,0.53183,0.43281,0.80187,0.00604,0.00604,0.00604
22,335.897,0.58124,0.3866,0.82247,0.99367,0.94262,0.96248,0.81511,0.53751,0.40477,0.80437,0.005842,0.005842,0.005842
23,349.347,0.57651,0.37507,0.82277,0.97917,0.94706,0.96613,0.80822,0.56435,0.41974,0.80247,0.005644,0.005644,0.005644
24,362.905,0.56752,0.36896,0.81823,0.97535,0.94851,0.96478,0.83143,0.52051,0.4012,0.79204,0.005446,0.005446,0.005446
25,376.342,0.57969,0.38258,0.83275,0.99021,0.94544,0.96643,0.81718,0.51741,0.40139,0.79197,0.005248,0.005248,0.005248
26,389.886,0.56111,0.3803,0.81899,0.99907,0.93475,0.96265,0.8352,0.52559,0.40562,0.79502,0.00505,0.00505,0.00505
27,403.489,0.54467,0.37224,0.8154,0.99317,0.9441,0.96273,0.84139,0.48239,0.38131,0.78665,0.004852,0.004852,0.004852
28,416.954,0.52815,0.37464,0.80794,0.98901,0.93858,0.96593,0.82537,0.53524,0.39824,0.78852,0.004654,0.004654,0.004654
29,430.518,0.52443,0.36103,0.80494,0.9822,0.9425,0.96037,0.84162,0.50412,0.40639,0.7866,0.004456,0.004456,0.004456
30,443.963,0.52341,0.36112,0.82028,0.97963,0.92718,0.96129,0.83405,0.51255,0.41281,0.79273,0.004258,0.004258,0.004258
31,457.54,0.52957,0.34798,0.81129,0.98045,0.93331,0.96318,0.84327,0.48711,0.40602,0.78975,0.00406,0.00406,0.00406
32,471.072,0.51191,0.33779,0.81421,0.9883,0.93466,0.96055,0.83494,0.46696,0.37729,0.78496,0.003862,0.003862,0.003862
33,484.995,0.49608,0.33978,0.81214,0.99017,0.94173,0.95487,0.84604,0.46454,0.39466,0.78503,0.003664,0.003664,0.003664
34,498.555,0.50043,0.34046,0.8034,0.98842,0.94401,0.96366,0.85667,0.4707,0.39708,0.7857,0.003466,0.003466,0.003466
35,512.182,0.51207,0.33154,0.81152,0.98928,0.94401,0.96388,0.85916,0.45792,0.36812,0.78368,0.003268,0.003268,0.003268
36,525.843,0.48681,0.3273,0.81103,0.99592,0.94357,0.96507,0.86034,0.44881,0.35788,0.78155,0.00307,0.00307,0.00307
37,539.535,0.47986,0.32419,0.79521,0.99313,0.94554,0.96477,0.84392,0.46472,0.36232,0.78274,0.002872,0.002872,0.002872
38,553.14,0.48001,0.32133,0.80509,0.99139,0.94918,0.96792,0.86016,0.44968,0.3576,0.77993,0.002674,0.002674,0.002674
39,566.762,0.46484,0.31045,0.80588,0.99206,0.94094,0.96163,0.85531,0.44015,0.33846,0.77993,0.002476,0.002476,0.002476
40,580.331,0.44692,0.3087,0.79559,0.99283,0.94459,0.96317,0.855,0.43745,0.34103,0.78003,0.002278,0.002278,0.002278
41,593.467,0.43969,0.29787,0.78579,0.99548,0.94872,0.96958,0.85575,0.45652,0.35765,0.78019,0.00208,0.00208,0.00208
42,606.637,0.4199,0.29369,0.77507,0.99276,0.94477,0.97213,0.8562,0.45805,0.34005,0.78193,0.001882,0.001882,0.001882
43,619.725,0.44313,0.29872,0.79966,0.99043,0.95032,0.97281,0.8549,0.44655,0.33616,0.78133,0.001684,0.001684,0.001684
44,632.997,0.45015,0.29685,0.80634,0.98336,0.95253,0.97488,0.85637,0.46152,0.34656,0.78111,0.001486,0.001486,0.001486
45,646.342,0.43552,0.29055,0.78342,0.99142,0.94112,0.95852,0.85525,0.43728,0.33486,0.77787,0.001288,0.001288,0.001288
46,659.855,0.41739,0.28589,0.79275,0.98344,0.95259,0.96368,0.85974,0.4294,0.33366,0.7765,0.00109,0.00109,0.00109
47,673.705,0.4085,0.27875,0.78081,0.98312,0.95807,0.96725,0.86016,0.41811,0.32085,0.77595,0.000892,0.000892,0.000892
48,687.77,0.39748,0.27045,0.78583,0.98439,0.95807,0.96846,0.868,0.42711,0.32194,0.77674,0.000694,0.000694,0.000694
49,700.933,0.38626,0.26435,0.78491,0.9773,0.95807,0.96802,0.86611,0.42148,0.31787,0.77607,0.000496,0.000496,0.000496
50,714.03,0.3865,0.26049,0.77638,0.99511,0.94403,0.96803,0.86613,0.42053,0.32315,0.77561,0.000298,0.000298,0.000298
