session_id,scenario_id,trajectory_name,iteration,fog_percent,illumination_lux,camera_noise,person_ap50,vehicle_ap50,map50,person_gt_count,vehicle_gt_count,person_detection_count,vehicle_detection_count,person_tp,person_fp,person_fn,vehicle_tp,vehicle_fp,vehicle_fn,total_tp,total_fp,total_fn,precision,recall,person_precision,person_recall,vehicle_precision,vehicle_recall,maximum_iou,mean_iou,verdict,nonfail_anchor,fail_anchor,next_environment,next_condition_calculation,simulation_seconds,frame_rendering_seconds,yolov8_inference_seconds,metric_scoring_seconds,policy_seconds,total_execution_seconds,evaluation_store_used,evaluation_cache_key,trajectory_config_sha256,weights_sha256,gt_version
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,1,5.0,12000.0,0.02,0.9822829131652661,0.9779876948406061,0.9801353040029361,170,141,168,157,167,1,3,138,19,3,305,20,6,0.9384615384615385,0.9807073954983923,0.9940476190476191,0.9823529411764705,0.8789808917197452,0.9787234042553191,0.990259575901072,0.9172265779161883,PASS,"{""cache_key"": ""10eba9119c4d174d2cda6de7"", ""camera_noise"": 0.02, ""fog_percent"": 5.0, ""illumination_lux"": 12000.0, ""map50"": 0.9801353040029361, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",0.0263354,48.6035113,5.770495600998402,0.004070200026035309,2.539902925491333e-05,54.40443790005369,True,10eba9119c4d174d2cda6de7,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,2,35.0,6000.0,0.22,0.9647058823529412,0.9432624113475178,0.9539841468502295,170,141,165,133,164,1,6,133,0,8,297,1,14,0.9966442953020134,0.954983922829582,0.9939393939393939,0.9647058823529412,1.0,0.9432624113475178,0.9916821036219555,0.9145923934906308,PASS,"{""cache_key"": ""0fbeb9128862243f04db1089"", ""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0, ""map50"": 0.9539841468502295, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",0.0216588,53.4548353,4.739815700799227,0.00369890034198761,2.9498711228370667e-05,58.22003819985244,False,0fbeb9128862243f04db1089,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,3,65.0,3000.0,0.42,0.4176470588235294,0.6950354609929077,0.5563412599082186,170,141,71,98,71,0,99,98,0,43,169,0,142,1.0,0.5434083601286174,1.0,0.4176470588235294,1.0,0.6950354609929078,0.9857544861258821,0.912740806878573,PASS,"{""cache_key"": ""d079bce03bd77113318d813c"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.5563412599082186, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",0.0252053,50.1162628,5.1177360992878675,0.0021979007869958878,2.6999041438102722e-05,55.261429099116306,False,d079bce03bd77113318d813c,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,4,95.0,1500.0,0.6,0.0,0.0,0.0,170,141,0,0,0,0,170,0,0,141,0,0,311,0.0,0.0,0.0,0.0,0.0,0.0,null,null,FAIL,"{""cache_key"": ""d079bce03bd77113318d813c"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.5563412599082186, ""verdict"": ""PASS""}","{""cache_key"": ""30b4078e7da01b8b32423669"", ""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0, ""map50"": 0.0, ""verdict"": ""FAIL""}","{""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0187114,52.4005328,4.793464599177241,0.0008299984037876129,3.0899420380592346e-05,57.21356969700141,False,30b4078e7da01b8b32423669,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,5,80.0,2250.0,0.51,0.0058823529411764705,0.1272863008585293,0.06658432689985289,170,141,1,19,1,0,169,18,1,123,19,1,292,0.95,0.06109324758842444,1.0,0.0058823529411764705,0.9473684210526315,0.1276595744680851,0.9576744331414442,0.8840143869330618,FAIL,"{""cache_key"": ""d079bce03bd77113318d813c"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.5563412599082186, ""verdict"": ""PASS""}","{""cache_key"": ""ef3cf334ee63d2945dc23db5"", ""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0, ""map50"": 0.06658432689985289, ""verdict"": ""FAIL""}","{""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0221574,49.1306751,4.552549300715327,0.0012634992599487305,2.9500573873519897e-05,53.706674800549145,False,ef3cf334ee63d2945dc23db5,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,6,72.5,2625.0,0.465,0.24705882352941178,0.33333333333333326,0.2901960784313725,170,141,42,47,42,0,128,47,0,94,89,0,222,1.0,0.2861736334405145,1.0,0.24705882352941178,1.0,0.3333333333333333,0.984510223211617,0.8961027407243234,MARGINAL,"{""cache_key"": ""450db2122adfd57f1be0255a"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.2901960784313725, ""verdict"": ""MARGINAL""}","{""cache_key"": ""ef3cf334ee63d2945dc23db5"", ""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0, ""map50"": 0.06658432689985289, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4875, ""fog_percent"": 76.25, ""illumination_lux"": 2437.5}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0195033,48.1907971,4.603789798915386,0.0016061998903751373,2.9200688004493713e-05,52.81572559949376,False,450db2122adfd57f1be0255a,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,7,76.25,2437.5,0.4875,0.07647058823529412,0.20933424845573093,0.14290241834551254,170,141,13,31,13,0,157,30,1,111,43,1,268,0.9772727272727273,0.1382636655948553,1.0,0.07647058823529412,0.967741935483871,0.2127659574468085,0.9718673762603881,0.8988097069044967,FAIL,"{""cache_key"": ""450db2122adfd57f1be0255a"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.2901960784313725, ""verdict"": ""MARGINAL""}","{""cache_key"": ""fd8bc88eb0d3b752b49edbbd"", ""camera_noise"": 0.4875, ""fog_percent"": 76.25, ""illumination_lux"": 2437.5, ""map50"": 0.14290241834551254, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4763, ""fog_percent"": 74.38, ""illumination_lux"": 2531.2}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0230029,50.3475602,4.362847298383713,0.0013165995478630066,3.429874777793884e-05,54.73476129667935,False,fd8bc88eb0d3b752b49edbbd,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,8,74.38,2531.2,0.4763,0.1411764705882353,0.2975424707240639,0.2193594706561496,170,141,24,43,24,0,146,42,1,99,66,1,245,0.9850746268656716,0.21221864951768488,1.0,0.1411764705882353,0.9767441860465116,0.2978723404255319,0.9717818730069788,0.9018060642731323,FAIL,"{""cache_key"": ""450db2122adfd57f1be0255a"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.2901960784313725, ""verdict"": ""MARGINAL""}","{""cache_key"": ""fa46bbd87f306356ce610293"", ""camera_noise"": 0.4763, ""fog_percent"": 74.38, ""illumination_lux"": 2531.2, ""map50"": 0.2193594706561496, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4707, ""fog_percent"": 73.44, ""illumination_lux"": 2578.1}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0185736,53.6540359,8.63705419935286,0.0020714011043310165,3.529898822307587e-05,62.311770399445415,False,fa46bbd87f306356ce610293,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,9,73.44,2578.1,0.4707,0.2235294117647059,0.326241134751773,0.27488527325823947,170,141,38,46,38,0,132,46,0,95,84,0,227,1.0,0.27009646302250806,1.0,0.2235294117647059,1.0,0.3262411347517731,0.9792492525461148,0.897055250488756,MARGINAL,"{""cache_key"": ""bb0fea7a01cb4efd3fdb3588"", ""camera_noise"": 0.4707, ""fog_percent"": 73.44, ""illumination_lux"": 2578.1, ""map50"": 0.27488527325823947, ""verdict"": ""MARGINAL""}","{""cache_key"": ""fa46bbd87f306356ce610293"", ""camera_noise"": 0.4763, ""fog_percent"": 74.38, ""illumination_lux"": 2531.2, ""map50"": 0.2193594706561496, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4735, ""fog_percent"": 73.91, ""illumination_lux"": 2554.6}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0190642,52.6785373,31.214780900627375,0.0015702005475759506,3.040023148059845e-05,83.91398300140644,False,bb0fea7a01cb4efd3fdb3588,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S2,고도 점진 하강 접근,10,73.91,2554.6,0.4735,0.18235294117647058,0.31205673758865243,0.2472048393825615,170,141,31,44,31,0,139,44,0,97,75,0,236,1.0,0.24115755627009647,1.0,0.18235294117647058,1.0,0.3120567375886525,0.9783345859367232,0.8983472980768221,FAIL,"{""cache_key"": ""bb0fea7a01cb4efd3fdb3588"", ""camera_noise"": 0.4707, ""fog_percent"": 73.44, ""illumination_lux"": 2578.1, ""map50"": 0.27488527325823947, ""verdict"": ""MARGINAL""}","{""cache_key"": ""15e5313d1b1a7c07f1ddc7c6"", ""camera_noise"": 0.4735, ""fog_percent"": 73.91, ""illumination_lux"": 2554.6, ""map50"": 0.2472048393825615, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4721, ""fog_percent"": 73.67, ""illumination_lux"": 2566.3}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0185539,49.3257204,12.695083901286125,0.0015977993607521057,3.0299648642539978e-05,62.04098630029552,False,15e5313d1b1a7c07f1ddc7c6,401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
