experiment_id,session_id,search_method,detector,scenario_id,random_seed,repetition,iteration,execution_timestamp_utc,fog_percent,illumination_lux,camera_noise,detected_intruder_count,visible_intruder_count,target_detection_count,person_detection_count,vehicle_detection_count,person_true_positive_count,vehicle_true_positive_count,maximum_same_class_iou,person_ap50,vehicle_ap50,map50,verdict,nonfail_anchor,fail_anchor,next_environment,next_condition_calculation,first_fail_discovered,cache_key,evaluation_cache_hit,model_weights_filename,model_weights_sha256,weights_provenance,ultralytics_version,python_version,matlab_version,matlab_release,device_name,actual_image_width,actual_image_height,yolo_input_size,confidence_threshold,nms_iou_threshold,ap_iou_threshold,class_mapping,simulation_seconds,geometry_simulation_seconds,frame_rendering_seconds,yolov8_inference_seconds,metric_scoring_seconds,next_scenario_seconds,accounted_iteration_seconds,iteration_wall_seconds,person_false_positive_count,person_false_negative_count,vehicle_false_positive_count,vehicle_false_negative_count,total_true_positive_count,total_false_positive_count,total_false_negative_count
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,1,2026-09-02T08:48:48.718429+00:00,5.0,12000.0,0.02,5,5,253,114,139,114,129,0.9871953616401455,0.9661016949152542,0.9839837758285153,0.9750427353718847,PASS,"{""cache_key"": ""433842e524cb2f284ee3"", ""camera_noise"": 0.02, ""fog_percent"": 5.0, ""illumination_lux"": 12000.0, ""map50"": 0.9750427353718847, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",False,433842e524cb2f284ee3,True,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",61.8174707,0.2428674,61.5746033,8.173249801620841,0.0077064987272024155,2.3599714040756226e-05,69.99845060006209,0.013531500473618507,0,4,10,2,243,10,6
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,2,2026-09-02T08:48:48.730327+00:00,35.0,6000.0,0.22,5,5,237,113,124,113,123,0.9933307370544905,0.9576271186440678,0.9389312977099237,0.9482792081769957,PASS,"{""cache_key"": ""42e46521001778d2acd4"", ""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0, ""map50"": 0.9482792081769957, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",False,42e46521001778d2acd4,True,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",46.6976523,0.0,46.6976523,4.159135600551963,0.0016533993184566498,2.7300789952278137e-05,50.85846860066037,0.011649100109934807,0,5,1,8,236,1,13
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,3,2026-09-02T08:48:48.741932+00:00,65.0,3000.0,0.42,5,5,186,77,109,77,109,0.9800644116170512,0.652542372881356,0.8320610687022901,0.742301720791823,PASS,"{""cache_key"": ""cb5c8fba91cdecd53d3e"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.742301720791823, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",False,cb5c8fba91cdecd53d3e,True,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",48.313394,0.0,48.313394,4.94629679992795,0.0015121996402740479,2.400018274784088e-05,53.261226999750974,0.011580299586057663,0,41,0,22,186,0,63
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,4,2026-09-02T08:48:48.751781+00:00,95.0,1500.0,0.6,0,5,0,0,0,0,0,,0.0,0.0,0.0,FAIL,"{""cache_key"": ""cb5c8fba91cdecd53d3e"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.742301720791823, ""verdict"": ""PASS""}","{""cache_key"": ""7431a35aa2eaad1ae590"", ""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0, ""map50"": 0.0, ""verdict"": ""FAIL""}","{""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0}",asymmetric_recovery: 0.25*current_fail + 0.75*nonfail,True,7431a35aa2eaad1ae590,True,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",48.3809804,0.0,48.3809804,4.49038890004158,0.0006068013608455658,2.600066363811493e-05,52.87200210206606,0.009128700941801071,0,118,0,131,0,0,249
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,5,2026-09-02T08:48:48.760780+00:00,72.5,2625.0,0.465,5,5,149,76,73,76,72,0.9748976450500336,0.6440677966101694,0.5463766600439192,0.5952222283270443,PASS,"{""cache_key"": ""348744cf3ceccff408c1"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.5952222283270443, ""verdict"": ""PASS""}","{""cache_key"": ""7431a35aa2eaad1ae590"", ""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0, ""map50"": 0.0, ""verdict"": ""FAIL""}","{""camera_noise"": 0.5528, ""fog_percent"": 87.12, ""illumination_lux"": 1893.8}",asymmetric_probe: 0.35*current_nonfail + 0.65*fail,False,348744cf3ceccff408c1,True,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",48.1826964,0.0,48.1826964,4.36670340038836,0.0015011001378297806,3.42000275850296e-05,52.55093510055377,0.009465599432587624,0,42,1,59,148,1,101
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,6,2026-09-02T08:49:38.744931+00:00,87.12,1893.8,0.5528,0,5,0,0,0,0,0,,0.0,0.0,0.0,FAIL,"{""cache_key"": ""348744cf3ceccff408c1"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.5952222283270443, ""verdict"": ""PASS""}","{""cache_key"": ""d4fddd5539715401b3f9"", ""camera_noise"": 0.5528, ""fog_percent"": 87.12, ""illumination_lux"": 1893.8, ""map50"": 0.0, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4869, ""fog_percent"": 76.16, ""illumination_lux"": 2442.2}",asymmetric_recovery: 0.25*current_fail + 0.75*nonfail,False,d4fddd5539715401b3f9,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",45.7088185,0.0,45.7088185,4.13025419972837,0.0010184012353420258,3.779865801334381e-05,49.840128899621725,49.98569029942155,0,118,0,131,0,0,249
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,7,2026-09-02T08:50:29.265153+00:00,76.16,2442.2,0.4869,5,5,98,56,42,56,42,0.9798975603788995,0.4745762711864407,0.32061068702290074,0.3975934791046707,MARGINAL,"{""cache_key"": ""b7cc6d26e2903d537898"", ""camera_noise"": 0.4869, ""fog_percent"": 76.16, ""illumination_lux"": 2442.2, ""map50"": 0.3975934791046707, ""verdict"": ""MARGINAL""}","{""cache_key"": ""d4fddd5539715401b3f9"", ""camera_noise"": 0.5528, ""fog_percent"": 87.12, ""illumination_lux"": 1893.8, ""map50"": 0.0, ""verdict"": ""FAIL""}","{""camera_noise"": 0.5297, ""fog_percent"": 83.28, ""illumination_lux"": 2085.7}",asymmetric_probe: 0.35*current_nonfail + 0.65*fail,False,b7cc6d26e2903d537898,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",46.2910939,0.0,46.2910939,4.058894500136375,0.0010191015899181366,2.820044755935669e-05,50.35103570217385,50.52326969988644,0,62,0,89,98,0,151
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,8,2026-09-02T08:51:18.793341+00:00,83.28,2085.7,0.5297,3,5,8,1,7,1,7,0.9376104155447846,0.00847457627118644,0.05343511450381679,0.030954845387501616,FAIL,"{""cache_key"": ""b7cc6d26e2903d537898"", ""camera_noise"": 0.4869, ""fog_percent"": 76.16, ""illumination_lux"": 2442.2, ""map50"": 0.3975934791046707, ""verdict"": ""MARGINAL""}","{""cache_key"": ""c94a76d6b1b904b11ba2"", ""camera_noise"": 0.5297, ""fog_percent"": 83.28, ""illumination_lux"": 2085.7, ""map50"": 0.030954845387501616, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4976, ""fog_percent"": 77.94, ""illumination_lux"": 2353.1}",asymmetric_recovery: 0.25*current_fail + 0.75*nonfail,False,c94a76d6b1b904b11ba2,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",45.511337,0.0,45.511337,3.86611820012331,0.0007036998867988586,2.61012464761734e-05,49.37818500125658,49.530266201123595,0,117,0,124,8,0,241
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,9,2026-09-02T08:52:09.312603+00:00,77.94,2353.1,0.4976,5,5,70,37,33,37,33,0.9775760208673493,0.3135593220338983,0.25190839694656486,0.28273385949023155,MARGINAL,"{""cache_key"": ""481539918e99a84bc7d4"", ""camera_noise"": 0.4976, ""fog_percent"": 77.94, ""illumination_lux"": 2353.1, ""map50"": 0.28273385949023155, ""verdict"": ""MARGINAL""}","{""cache_key"": ""c94a76d6b1b904b11ba2"", ""camera_noise"": 0.5297, ""fog_percent"": 83.28, ""illumination_lux"": 2085.7, ""map50"": 0.030954845387501616, ""verdict"": ""FAIL""}","{""camera_noise"": 0.5185, ""fog_percent"": 81.41, ""illumination_lux"": 2179.3}",asymmetric_probe: 0.35*current_nonfail + 0.65*fail,False,481539918e99a84bc7d4,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",46.1616219,0.0,46.1616219,4.125869899988174,0.0013311002403497696,5.000084638595581e-05,50.28887290107491,50.5224479008466,0,81,0,98,70,0,179
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,asymmetric,yolov8,mountain_uav_default_layout,42,1,10,2026-09-02T08:52:59.809474+00:00,81.41,2179.3,0.5185,4,5,19,7,12,7,12,0.9578649238801646,0.059322033898305086,0.0916030534351145,0.07546254366670979,FAIL,"{""cache_key"": ""481539918e99a84bc7d4"", ""camera_noise"": 0.4976, ""fog_percent"": 77.94, ""illumination_lux"": 2353.1, ""map50"": 0.28273385949023155, ""verdict"": ""MARGINAL""}","{""cache_key"": ""8ba09237c04aef4f5a58"", ""camera_noise"": 0.5185, ""fog_percent"": 81.41, ""illumination_lux"": 2179.3, ""map50"": 0.07546254366670979, ""verdict"": ""FAIL""}","{""camera_noise"": 0.5028, ""fog_percent"": 78.81, ""illumination_lux"": 2309.6}",asymmetric_recovery: 0.25*current_fail + 0.75*nonfail,False,8ba09237c04aef4f5a58,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",45.9361938,0.0,45.9361938,4.046841200441122,0.0007742010056972504,2.7900561690330505e-05,49.98383710200851,50.49885240010917,0,111,0,119,19,0,230
