experiment_id,session_id,search_method,detector,scenario_id,random_seed,repetition,iteration,execution_timestamp_utc,fog_percent,illumination_lux,camera_noise,detected_intruder_count,visible_intruder_count,target_detection_count,person_detection_count,vehicle_detection_count,person_true_positive_count,vehicle_true_positive_count,maximum_same_class_iou,person_ap50,vehicle_ap50,map50,verdict,nonfail_anchor,fail_anchor,next_environment,next_condition_calculation,first_fail_discovered,cache_key,evaluation_cache_hit,model_weights_filename,model_weights_sha256,weights_provenance,ultralytics_version,python_version,matlab_version,matlab_release,device_name,actual_image_width,actual_image_height,yolo_input_size,confidence_threshold,nms_iou_threshold,ap_iou_threshold,class_mapping,simulation_seconds,geometry_simulation_seconds,frame_rendering_seconds,yolov8_inference_seconds,metric_scoring_seconds,next_scenario_seconds,accounted_iteration_seconds,iteration_wall_seconds,person_false_positive_count,person_false_negative_count,vehicle_false_positive_count,vehicle_false_negative_count,total_true_positive_count,total_false_positive_count,total_false_negative_count
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,1,2026-09-02T08:40:54.881095+00:00,5.0,12000.0,0.02,5,5,253,114,139,114,129,0.9871953616401455,0.9661016949152542,0.9839837758285153,0.9750427353718847,PASS,"{""cache_key"": ""433842e524cb2f284ee3"", ""camera_noise"": 0.02, ""fog_percent"": 5.0, ""illumination_lux"": 12000.0, ""map50"": 0.9750427353718847, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",False,433842e524cb2f284ee3,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",61.8174707,0.2428674,61.5746033,8.173249801620841,0.0077064987272024155,6.0599297285079956e-05,69.99848759964533,79.99357179924846,0,4,10,2,243,10,6
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,2,2026-09-02T08:41:45.975299+00:00,35.0,6000.0,0.22,5,5,237,113,124,113,123,0.9933307370544905,0.9576271186440678,0.9389312977099237,0.9482792081769957,PASS,"{""cache_key"": ""42e46521001778d2acd4"", ""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0, ""map50"": 0.9482792081769957, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",False,42e46521001778d2acd4,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",46.6976523,0.0,46.6976523,4.159135600551963,0.0016533993184566498,3.42000275850296e-05,50.858475499898006,51.093980599194765,0,5,1,8,236,1,13
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,3,2026-09-02T08:42:39.392241+00:00,65.0,3000.0,0.42,5,5,186,77,109,77,109,0.9800644116170512,0.652542372881356,0.8320610687022901,0.742301720791823,PASS,"{""cache_key"": ""cb5c8fba91cdecd53d3e"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.742301720791823, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",False,cb5c8fba91cdecd53d3e,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",48.313394,0.0,48.313394,4.94629679992795,0.0015121996402740479,5.229935050010681e-05,53.26125529891873,53.4166858009994,0,41,0,22,186,0,63
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,4,2026-09-02T08:43:32.435465+00:00,95.0,1500.0,0.6,0,5,0,0,0,0,0,,0.0,0.0,0.0,FAIL,"{""cache_key"": ""cb5c8fba91cdecd53d3e"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.742301720791823, ""verdict"": ""PASS""}","{""cache_key"": ""7431a35aa2eaad1ae590"", ""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0, ""map50"": 0.0, ""verdict"": ""FAIL""}","{""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,True,7431a35aa2eaad1ae590,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",48.3809804,0.0,48.3809804,4.49038890004158,0.0006068013608455658,7.800012826919556e-05,52.87205410153069,53.04283690080047,0,118,0,131,0,0,249
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,5,2026-09-02T08:44:29.613044+00:00,80.0,2250.0,0.51,5,5,33,13,20,13,20,0.9713222759350308,0.11016949152542373,0.15267175572519084,0.1314206236253073,FAIL,"{""cache_key"": ""cb5c8fba91cdecd53d3e"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.742301720791823, ""verdict"": ""PASS""}","{""cache_key"": ""79fe96f25dea7dc4ffed"", ""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0, ""map50"": 0.1314206236253073, ""verdict"": ""FAIL""}","{""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,False,79fe96f25dea7dc4ffed,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",52.6841052,0.0,52.6841052,4.318720800802112,0.0007260013371706009,3.0700117349624634e-05,57.00358270225663,57.17821190133691,0,105,0,111,33,0,216
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,6,2026-09-02T08:45:22.344248+00:00,72.5,2625.0,0.465,5,5,149,76,73,76,72,0.9748976450500336,0.6440677966101694,0.5463766600439192,0.5952222283270443,PASS,"{""cache_key"": ""348744cf3ceccff408c1"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.5952222283270443, ""verdict"": ""PASS""}","{""cache_key"": ""79fe96f25dea7dc4ffed"", ""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0, ""map50"": 0.1314206236253073, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4875, ""fog_percent"": 76.25, ""illumination_lux"": 2437.5}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,False,348744cf3ceccff408c1,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",48.1826964,0.0,48.1826964,4.36670340038836,0.0015011001378297806,3.5800039768218994e-05,52.550936700565956,52.73312900029123,0,42,1,59,148,1,101
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,7,2026-09-02T08:46:14.289908+00:00,76.25,2437.5,0.4875,5,5,97,55,42,55,42,0.9803706792900285,0.4661016949152542,0.32061068702290074,0.3933561909690775,MARGINAL,"{""cache_key"": ""ecd1cb542ac9fd97c5b3"", ""camera_noise"": 0.4875, ""fog_percent"": 76.25, ""illumination_lux"": 2437.5, ""map50"": 0.3933561909690775, ""verdict"": ""MARGINAL""}","{""cache_key"": ""79fe96f25dea7dc4ffed"", ""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0, ""map50"": 0.1314206236253073, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4988, ""fog_percent"": 78.12, ""illumination_lux"": 2343.8}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,False,ecd1cb542ac9fd97c5b3,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",47.3845782,0.0,47.3845782,4.415120299905539,0.0010218005627393723,2.9399991035461426e-05,51.80074970045931,51.94813599996269,0,63,0,89,97,0,152
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,8,2026-09-02T08:47:05.655306+00:00,78.12,2343.8,0.4988,5,5,66,35,31,35,31,0.9756313892783227,0.2966101694915254,0.2366412213740458,0.2666256954327856,MARGINAL,"{""cache_key"": ""28e043a680d9497e02b5"", ""camera_noise"": 0.4988, ""fog_percent"": 78.12, ""illumination_lux"": 2343.8, ""map50"": 0.2666256954327856, ""verdict"": ""MARGINAL""}","{""cache_key"": ""79fe96f25dea7dc4ffed"", ""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0, ""map50"": 0.1314206236253073, ""verdict"": ""FAIL""}","{""camera_noise"": 0.5044, ""fog_percent"": 79.06, ""illumination_lux"": 2296.9}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,False,28e043a680d9497e02b5,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",46.960945,0.0,46.960945,4.252509601414204,0.0012996997684240341,3.1501054763793945e-05,51.214785802237394,51.36777479946613,0,83,0,100,66,0,183
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,9,2026-09-02T08:47:57.415589+00:00,79.06,2296.9,0.5044,5,5,51,23,28,23,28,0.9679181489213217,0.19491525423728812,0.21374045801526717,0.20432785612627763,FAIL,"{""cache_key"": ""28e043a680d9497e02b5"", ""camera_noise"": 0.4988, ""fog_percent"": 78.12, ""illumination_lux"": 2343.8, ""map50"": 0.2666256954327856, ""verdict"": ""MARGINAL""}","{""cache_key"": ""21ac47eedc952505fce8"", ""camera_noise"": 0.5044, ""fog_percent"": 79.06, ""illumination_lux"": 2296.9, ""map50"": 0.20432785612627763, ""verdict"": ""FAIL""}","{""camera_noise"": 0.5016, ""fog_percent"": 78.59, ""illumination_lux"": 2320.4}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,False,21ac47eedc952505fce8,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",47.3469556,0.0,47.3469556,4.256051499396563,0.0008325986564159393,3.0899420380592346e-05,51.60387059747336,51.76292249932885,0,95,0,103,51,0,198
kci_yolov8s_boundary_search_v1,kci_yolov8s_boundary_search_v1__20260902_173932_443628__seed42,symmetric,yolov8,mountain_uav_default_layout,42,1,10,2026-09-02T08:48:48.670415+00:00,78.59,2320.4,0.5016,5,5,59,29,30,29,30,0.9680559931796932,0.2457627118644068,0.22900763358778625,0.23738517272609652,FAIL,"{""cache_key"": ""28e043a680d9497e02b5"", ""camera_noise"": 0.4988, ""fog_percent"": 78.12, ""illumination_lux"": 2343.8, ""map50"": 0.2666256954327856, ""verdict"": ""MARGINAL""}","{""cache_key"": ""1a7419550bbbfcda9f06"", ""camera_noise"": 0.5016, ""fog_percent"": 78.59, ""illumination_lux"": 2320.4, ""map50"": 0.23738517272609652, ""verdict"": ""FAIL""}","{""camera_noise"": 0.5002, ""fog_percent"": 78.36, ""illumination_lux"": 2332.1}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,False,1a7419550bbbfcda9f06,False,best.pt,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,custom YOLOv8s fine-tuned on scenario-separated MATLAB simulation data,8.4.46,3.11.9,25.2.0.3150157 (R2025b) Update 4,2025b,NVIDIA GeForce RTX 2060,640,360,640,0.25,0.7,0.5,"{""0"": ""person"", ""1"": ""vehicle""}",46.850192,0.0,46.850192,4.261598400771618,0.0011393986642360687,2.9498711228370667e-05,51.11295929814708,51.257706901058555,0,89,0,101,59,0,190
