epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7495,0.67892,2.1072,0.83865,0.96695,0.94311,0.97118,0.85763,0.4478,0.58419,0.68703,0.0032971,0.0032971,0.0703261
2,30.9033,0.57439,0.76185,0.81579,0.98074,0.95442,0.95896,0.80468,0.61469,0.71108,0.69814,0.00649915,0.00649915,0.0401948
3,46.4174,0.6933,0.79208,0.83314,0.98938,0.94851,0.96452,0.76083,0.69811,0.6106,0.71879,0.0095692,0.0095692,0.00993152
4,61.6043,0.74792,0.78238,0.84711,0.98559,0.92983,0.94564,0.76184,0.64398,1.06385,0.7172,0.009406,0.009406,0.009406
5,77.5151,0.74877,0.87997,0.84585,0.97824,0.93899,0.95618,0.73847,0.70877,0.75815,0.72499,0.009208,0.009208,0.009208
6,92.1681,0.69064,0.64507,0.83976,0.97305,0.94217,0.95739,0.78986,0.61719,0.48058,0.70731,0.00901,0.00901,0.00901
7,106.818,0.70762,0.52114,0.83939,0.99824,0.95689,0.96962,0.78636,0.6042,0.49347,0.71177,0.008812,0.008812,0.008812
8,121.475,0.6655,0.50762,0.85203,0.99897,0.97212,0.97,0.79451,0.57681,0.40984,0.71198,0.008614,0.008614,0.008614
9,136.104,0.61567,0.46246,0.85103,0.99711,0.96696,0.96985,0.81341,0.52138,0.40099,0.70653,0.008416,0.008416,0.008416
10,150.676,0.60977,0.43091,0.83862,0.99844,0.97212,0.97,0.82865,0.56439,0.41703,0.70335,0.008218,0.008218,0.008218
11,165.242,0.62012,0.44368,0.83703,0.9921,0.96696,0.97432,0.82442,0.54207,0.40007,0.70486,0.00802,0.00802,0.00802
12,179.847,0.58236,0.41731,0.83502,0.99124,0.96696,0.96975,0.85691,0.45504,0.35786,0.69267,0.007822,0.007822,0.007822
13,194.456,0.58595,0.4178,0.83566,0.99693,0.97212,0.97485,0.8249,0.51054,0.36548,0.69663,0.007624,0.007624,0.007624
